date,year,month,arabica_usd_kg,robusta_usd_kg
2017-03-01,2017,3,3.5307,2.353
2017-04-01,2017,4,3.426,2.2835
2017-05-01,2017,5,3.3069,2.1685
2017-06-01,2017,6,3.1575,2.2476
2017-07-01,2017,7,3.2994,2.3135
2017-08-01,2017,8,3.3043,2.3043
2017-09-01,2017,9,3.2311,2.1865
2017-10-01,2017,10,3.1021,2.1691
2017-11-01,2017,11,3.1063,2.0135
2017-12-01,2017,12,3.0296,1.931
2018-01-01,2018,1,3.0602,1.9544
2018-02-01,2018,2,3.0045,1.9674
2018-03-01,2018,3,2.9769,1.944
2018-04-01,2018,4,2.9617,1.9469
2018-05-01,2018,5,2.9897,1.9564
2018-06-01,2018,6,2.9549,1.8975
2018-07-01,2018,7,2.8792,1.8611
2018-08-01,2018,8,2.7604,1.78
2018-09-01,2018,9,2.6716,1.6909
2018-10-01,2018,10,3.0278,1.881
2018-11-01,2018,11,3.0228,1.8413
2018-12-01,2018,12,2.8021,1.7101
2019-01-01,2019,1,2.8321,1.7249
2019-02-01,2019,2,2.8318,1.7339
2019-03-01,2019,3,2.7313,1.6967
2019-04-01,2019,4,2.6705,1.6155
2019-05-01,2019,5,2.6577,1.5679
2019-06-01,2019,6,2.8601,1.6319
2019-07-01,2019,7,2.9866,1.6299
2019-08-01,2019,8,2.7829,1.5602
2019-09-01,2019,9,2.8415,1.5573
2019-10-01,2019,10,2.7996,1.513
2019-11-01,2019,11,3.1081,1.6155
2019-12-01,2019,12,3.4551,1.6144
2020-01-01,2020,1,3.1347,1.5554
2020-02-01,2020,2,2.9873,1.5007
2020-03-01,2020,3,3.2701,1.4872
2020-04-01,2020,4,3.4066,1.4101
2020-05-01,2020,5,3.3034,1.4226
2020-06-01,2020,6,3.12,1.4246
2020-07-01,2020,7,3.2359,1.4923
2020-08-01,2020,8,3.599,1.6023
2020-09-01,2020,9,3.672,1.6043
2020-10-01,2020,10,3.3523,1.5071
2020-11-01,2020,11,3.323,1.5957
2020-12-01,2020,12,3.4791,1.5882
2021-01-01,2021,1,3.5424,1.5593
2021-02-01,2021,2,3.6691,1.6175
2021-03-01,2021,3,3.6828,1.6283
2021-04-01,2021,4,3.7181,1.6416
2021-05-01,2021,5,4.1107,1.7566
2021-06-01,2021,6,4.243,1.8702
2021-07-01,2021,7,4.5038,2.0805
2021-08-01,2021,8,4.7673,2.0984
2021-09-01,2021,9,4.9723,2.306
2021-10-01,2021,10,5.3145,2.3201
2021-11-01,2021,11,5.7091,2.4119
2021-12-01,2021,12,5.9101,2.4837
2022-01-01,2022,1,5.9763,2.4251
2022-02-01,2022,2,6.1692,2.4125
2022-03-01,2022,3,5.6985,2.2888
2022-04-01,2022,4,5.8541,2.291
2022-05-01,2022,5,5.7413,2.273
2022-06-01,2022,6,6.0338,2.2886
2022-07-01,2022,7,5.6392,2.2121
2022-08-01,2022,8,5.9179,2.4174
2022-09-01,2022,9,5.8971,2.4551
2022-10-01,2022,10,5.2929,2.271
2022-11-01,2022,11,4.7155,2.0413
2022-12-01,2022,12,4.6295,2.0454
2023-01-01,2023,1,4.5583,2.116
2023-02-01,2023,2,5.0647,2.2913
2023-03-01,2023,3,4.9022,2.3477
2023-04-01,2023,4,5.0609,2.5507
2023-05-01,2023,5,4.8528,2.7018
2023-06-01,2023,6,4.5722,2.913
2023-07-01,2023,7,4.2657,2.8127
2023-08-01,2023,8,4.1167,2.7474
2023-09-01,2023,9,4.0459,2.7313
2023-10-01,2023,10,4.0477,2.62
2023-11-01,2023,11,4.3471,2.7035
2023-12-01,2023,12,4.6465,2.9866
2024-01-01,2024,1,4.4732,3.2639
2024-02-01,2024,2,4.6028,3.3781
2024-03-01,2024,3,4.605,3.6564
2024-04-01,2024,4,5.2743,4.2335
2024-05-01,2024,5,5.0832,4.0422
2024-06-01,2024,6,5.4761,4.5043
2024-07-01,2024,7,5.6681,4.7338
2024-08-01,2024,8,5.7638,4.7329
2024-09-01,2024,9,6.1247,5.3303
2024-10-01,2024,10,6.1017,4.8923
2024-11-01,2024,11,6.7237,4.9849
2024-12-01,2024,12,7.5693,5.219
2025-01-01,2025,1,7.8147,5.4077
2025-02-01,2025,2,9.0493,5.8125
2025-03-01,2025,3,8.9195,5.6899
2025-04-01,2025,4,8.6359,5.4251
2025-05-01,2025,5,8.7709,5.2415
2025-06-01,2025,6,8.0063,4.3257
2025-07-01,2025,7,7.176,3.6859
2025-08-01,2025,8,8.076,4.3901
2025-09-01,2025,9,8.8315,4.6575
2025-10-01,2025,10,8.902,4.7413
2025-11-01,2025,11,9.0458,4.7379
2025-12-01,2025,12,8.4047,4.2013
