month,n_years,avg_rel_price,premium_vs_avg_%,std,t_stat,p_value,significant_5%
1,17,97.9371137340914,-2.0628862659086025,10.675928824840598,-0.7966986392965358,0.4372889906019105,no
2,17,100.66832181545877,0.6683218154587678,10.616659520542152,0.2595507025264701,0.7985204322893082,no
3,17,100.522573846263,0.5225738462630005,9.482825259516133,0.22721363163002933,0.8231354009335314,no
4,17,98.00889472227773,-1.9911052777222693,6.638599650913907,-1.2366369119191474,0.23406731887057297,no
5,17,97.2260795329491,-2.7739204670508997,4.61050522537355,-2.4806754408974507,0.024611817162469237,YES
6,16,96.67536746552251,-3.3246325344774874,2.6702176725244477,-4.980316876315705,0.0001645302202281915,YES
7,16,97.32034810701998,-2.6796518929800186,3.9502983199264565,-2.713366612808023,0.016023312132817942,YES
8,16,98.30520387412342,-1.6947961258765787,5.19267787299101,-1.3055276428309366,0.21138327044401264,no
9,16,99.99716212239635,-0.0028378776036532827,6.60806564732485,-0.0017178265199602814,0.9986520113705335,no
10,16,103.95149084747734,3.951490847477345,7.350376085529373,2.150361179617252,0.048241812979949665,YES
11,16,105.55277834550455,5.552778345504549,9.22937942572721,2.4065662876643645,0.029444475137041508,YES
12,16,104.18697910872586,4.186979108725865,12.050138560396896,1.3898526021888193,0.1848572694191492,no
