,1965-11,1972-11,1982-12,1987-08,1991-12,1997-11,2015-11,2023-11
-6,64.37632135306553,92.37766925213062,79.52585442027186,116.42600143919407,89.3542913280343,123.09114769744691,107.1194717274291,99.93711855002773
-5,81.01215644820296,92.16700181940057,76.93508890229621,103.4780522907172,89.3542913280343,116.70245764733953,110.4100771322346,107.74921398187533
-4,94.6485200845666,99.96169683041272,79.7742839904887,106.93211801391223,88.41654014468162,104.74827010260081,106.58121080961101,104.03920843351212
-3,105.0475687103594,99.64569568131762,85.50236008091706,111.68625569680981,91.87282307761008,97.90622763063709,104.93868264802175,101.62382097281302
-2,102.74841437632134,99.07114813750837,91.76278525038151,103.69393139841692,90.33669732964188,98.83082796468624,99.70589867376948,101.02829665248751
-1,106.67283298097252,99.28181557023844,95.62054157646308,97.80762772847207,99.24086808966688,98.00167024576474,101.27073969258088,96.91141113371555
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,104.86257928118393,100.82351814612657,97.41988146360508,105.05157112017271,96.14182370277754,108.62562634216178,96.98684867654404,110.47161087479193
2,105.91966173361523,100.92885186249163,95.27628917201973,109.48428879827298,83.81709386442799,109.69339059890243,91.39892347816436,120.7286850379138
3,100.11892177589851,104.55807718088673,94.85395890265109,110.87071240105544,83.85281771903189,109.62777380100218,90.57765939736974,124.9528389125208
4,98.28224101479915,106.27214401991765,94.85395890265109,108.97577356680259,81.43252656961687,108.08876163206872,92.48654347705455,135.24690216386165
5,100.50211416490487,103.18873886814133,96.36228129325336,107.99232429839292,74.18951504867375,117.00668098305896,98.09111592031519,156.59330497503237
6,101.10993657505286,102.8918893038399,94.08737622883912,108.90861117774047,73.18924711976423,119.33309472679554,102.67465734420954,149.5172923987424
7,97.9122621564482,103.18873886814133,93.93831848670902,104.66298872631327,77.1635259444494,108.79861608208066,105.13844958659342,166.6099500647309
8,96.33985200845665,101.33103514315809,94.14061113674273,101.72223554809308,76.49370367062606,101.31233595800524,111.10371233560848,175.09894581098575
9,94.99207188160675,100.06703054677774,95.3863079816872,99.48189014152076,80.68232562293471,104.27105702696255,112.29121580378447,175.06565563158867
10,92.42864693446089,105.76462702288613,101.94839762927211,98.86303669944832,87.0054478878271,104.9451204963016,118.5172853892681,197.1629369336046
11,94.75422832980972,109.77688403715409,101.19955992476135,90.23746701846966,93.85549700812717,105.60128847530423,126.80206425836525,180.96171629369334
12,95.13742071881606,111.88355836445467,103.88259928310323,86.35644039337971,100.04465481825491,105.41636840849439,126.88530048277009,184.38690586277048
13,94.50317124735729,113.99980848415206,104.00681406821167,94.934036939314,92.3461641511119,110.54640897160584,124.59907885244992,193.04605141483265
14,93.24788583509513,117.45666953940437,106.64371650637045,99.5154713360518,92.53371438778245,108.21999522786925,132.51206925253868,200.02589236175328
15,96.2737843551797,127.82725270516136,108.00653014870285,97.99952026864958,90.3724211842458,104.19350990217131,130.27578935686142,214.99907527279453
16,95.89059196617336,132.40448147084172,107.62323881179687,106.26529143679542,88.36295436277575,96.55213552851349,130.56989068309196,210.46421305714813
17,98.71828752642705,135.17188547352293,114.60765872875041,107.18157831614296,90.90827900330447,91.159627773801,126.7132789523334,200.66950249676344
18,101.7838266384778,136.22522263717323,112.32565567661568,101.6598704725354,91.69420380459052,89.34621808637557,120.33183508129403,193.8783058997596
19,103.38266384778012,130.4605956142871,107.8965113390354,99.8320940273447,97.26712512280076,86.25626342161775,124.72115864824372,160.00369890882192
20,97.87262156448203,124.83002968495644,109.98331972885688,96.47397457423844,115.1022595338037,80.95919828203293,128.3780034404306,136.33808026632144
21,94.82029598308668,118.24188451594368,110.68956950704477,96.58431278484049,123.05974814682503,82.94559770937725,127.86748793074747,162.38579619012393
22,95.66596194503171,113.8274442210093,105.71388011498742,88.57759654593428,116.01321782620344,78.3404915294679,121.33066977415238,172.27667837987792
23,96.39270613107823,115.981997510294,106.46271781949818,68.99976013432479,121.0145574707511,76.95657361011692,120.36512957105599,175.37636397262807
24,98.81078224101479,117.5045485013885,99.34343613585548,63.03669944830895,121.7022416718764,82.91577189214985,111.73075855945842,175.25060107268357
