month,n_years,avg_rel_price,premium_vs_avg_%,std,t_stat,p_value,significant_5%
1,66,98.93071182329982,-1.0692881767001836,14.734131605826612,-0.5895792467131354,0.5575166192430362,no
2,66,99.57486124977285,-0.4251387502271484,12.99939881071335,-0.2656925588972493,0.7913168951222349,no
3,66,100.05025294581384,0.05025294581383832,12.577753066070027,0.03245864818566311,0.974205758250162,no
4,66,99.91034423441694,-0.08965576558306054,10.499795303404328,-0.06936962690669464,0.9449083763053614,no
5,66,100.1564164957873,0.15641649578729755,9.354527866285652,0.13584155577475948,0.8923663661806689,no
6,66,99.6871531471542,-0.3128468528457944,7.519758662104999,-0.3379868904698687,0.7364622679344552,no
7,66,98.77974078412676,-1.2202592158732415,8.612908771268609,-1.1509970669183125,0.2539499737561084,no
8,66,99.54888896173361,-0.4511110382663901,8.800961165546788,-0.41641399509614413,0.6784789380078701,no
9,66,100.8668422289175,0.8668422289175055,10.938188772192804,0.6438231872893774,0.5219553863741659,no
10,66,100.26709240433615,0.2670924043361538,11.101069424929177,0.19546485724525708,0.8456387914647696,no
11,66,100.7859376187997,0.7859376187996929,12.345334205994503,0.5171984242983471,0.6067732298751887,no
12,66,101.44175810584132,1.4417581058413163,15.34224637094645,0.7634408898706463,0.4479626833312272,no
